Feature,XGBoost,DecisionTree,RandomForest,Lasso,Chi2,FEATURE_CODE
DX_T-5 7100: Systemic lupus erythematosus,4.3760516e-05,0.0,0.0019682222172834,0.0003342609524885,42.372204213228,DX_7100
DX_T-6 5168: Other specified alveolar and parietoalveolar pneumonopathies,0.0,0.0,0.0001810822705361,0.0,33.12456165984805,DX_5168
"DX_T-6 5990: Urinary tract infection, site not specified",0.0018965293,0.0167998235020474,0.0062522747425679,0.0094200222034004,61.32354475680037,DX_5990
"DX_T-7 4590: Hemorrhage, unspecified",0.0,0.0,0.0001950192813338,0.0,33.12456165984805,DX_4590
DX_T-7 5168: Other specified alveolar and parietoalveolar pneumonopathies,0.0,0.0,0.0001306081437445,0.0,33.12456165984805,DX_5168
DX_T-7 5939: Unspecified disorder of kidney and ureter,0.0,0.0,5.447817536659176e-05,0.0,33.12456165984805,DX_5939
DX_T-7 7907: Bacteremia,0.0,0.0,0.000101571911771,0.0,33.12456165984805,DX_7907
"DX_T-7 99662: Infection and inflammatory reaction due to other vascular device, implant, and graft",0.0,0.0,0.00011871900828,0.0,33.12456165984805,DX_99662
DX_T-8 41401: Coronary atherosclerosis of native coronary artery,0.00010646924,0.0,0.0016645246109759,0.0001233037512106,39.88276243030338,DX_41401
PR_T-1 0966: Enteral infusion of concentrated nutritional substances,0.016089933,0.0,0.0009930721705396,0.0119668427165288,3.565291142802195,PR_0966
PR_T-1 3521: Open and other replacement of aortic valve with tissue graft,0.009652991,0.0476094934474522,0.0101842964330349,0.010929385604004,19.98109352506604,PR_3521
PR_T-1 3522: Open and other replacement of aortic valve,0.004087068,0.0034301922789876,0.0026776905270688,0.0099991019379452,6.615095031152739,PR_3522
PR_T-1 3615: Single internal mammary-coronary artery bypass,0.0073672975,0.0,0.0003663270888111,0.0062366661081232,0.5294504612204695,PR_3615
PR_T-1 3772: Initial insertion of transvenous leads [electrodes] into atrium and ventricle,0.0041376213,0.0030625128134077,0.0051321025621302,0.0040771885221068,14.422507620071212,PR_3772
PR_T-1 3783: Initial insertion of dual-chamber device,0.0,0.0031990369528451,0.0044376369641914,0.0027945462619267,14.314791521512818,PR_3783
"PR_T-1 3812: Endarterectomy, other vessels of head and neck",0.0033579466,0.0,0.0006802026655471,0.0101692257455522,4.674339399149938,PR_3812
"PR_T-1 3814: Endarterectomy, aorta",4.9419854e-05,0.0081640610844698,0.0012482856725449,0.0005351057796657,12.520404108125067,PR_3814
PR_T-1 3961: Extracorporeal circulation auxiliary to open heart surgery,0.0075428262,0.0004046726299458,0.0028613005440208,0.0022678287172537,4.317933495494474,PR_3961
PR_T-1 3995: Hemodialysis,0.012885862,0.0133511363325328,0.0062229880615633,0.004684382616487,24.12722230331672,PR_3995
PR_T-1 4502: Other incision of small intestine,0.0022383467,0.0076925882732481,0.0008000663896009,0.0158054748572752,20.522680116455685,PR_4502
PR_T-1 4513: Other endoscopy of small intestine,0.0046208357,0.0086100401913587,0.0008868028432414,0.0009358928065567,3.108840458492895,PR_4513
PR_T-1 4621: Temporary ileostomy,0.0023604725,0.009683039901742,0.0025215862033444,0.0074853180097908,19.347302883666817,PR_4621
"PR_T-1 8744: Routine chest x-ray, so described",0.0024356167,0.0,0.0002377241073498,0.0095508823684598,24.78872301896143,PR_8744
PR_T-1 8872: Diagnostic ultrasound of heart,0.0077592176,0.0006980901757208,0.0007983230021627,0.0006842164313723,1.6212467823814956,PR_8872
"PR_T-1 9851: Extracorporeal shockwave lithotripsy [ESWL] of the kidney, ureter and/or bladder",5.864592e-05,0.008410211858359,0.0007710671421673,0.000723304435824,33.06444643900811,PR_9851
PR_T-1 9904: Transfusion of packed cells,0.014078383,0.0230471877953386,0.0057347538712405,0.0050848108734238,10.88123450346898,PR_9904
PR_T-2 0013: Injection or infusion of nesiritide,0.0022220113,0.0144138439489989,0.0032875911690893,0.0064441932826927,17.310867089026356,PR_0013
PR_T-2 0311: Temporary tracheostomy,0.0068919607,0.0114627249772826,0.0045531123084814,0.0090777967713527,17.71546955521546,PR_0311
PR_T-2 3895: Venous catheterization for renal dialysis,0.001763969,0.00483960748294,0.0040720887239802,0.0004194646277034,19.77267191090484,PR_3895
PR_T-2 3929: Other (peripheral) vascular shunt or bypass,0.0005259406,0.0161811645613206,0.0045030192103334,0.0011638788538203,21.747879133136948,PR_3929
PR_T-2 3995: Hemodialysis,0.019340517,0.0017932682922917,0.0063037664843546,0.0013390580616716,31.23706196970929,PR_3995
PR_T-2 9907: Transfusion of other serum,0.013949198,0.0,0.0020827235918257,0.0011415248765981,8.295516305509986,PR_9907
"PR_T-3 3844: Resection of vessel with replacement, aorta, abdominal",0.003356027,0.0271492114781137,0.0024556142608197,0.0093475310800924,45.40653368382225,PR_3844
PR_T-3 3995: Hemodialysis,0.0012799653,0.0,0.0062491068899826,0.0004073277958883,43.64817334560895,PR_3995
PR_T-4 3995: Hemodialysis,0.00067367847,0.0227602717211972,0.0064149821166917,6.972953598271353e-05,42.21017115039533,PR_3995
PR_T-4 8849: Arteriography of other specified sites,5.504751e-05,0.0,0.0018000618308927,0.0,42.58460050987333,PR_8849
"PR_T-6 3893: Venous catheterization, not elsewhere classified",0.0007406912,0.0080444160289757,0.0070936117442704,0.0027507654589,36.46971845798623,PR_3893
PR_T-6 9904: Transfusion of packed cells,0.0,0.0,0.0035320553293231,3.508201465384136e-06,37.833409616388735,PR_9904
PR_T-7 9672: Continuous invasive mechanical ventilation for 96 consecutive hours or more,2.664284e-05,0.0041172336760775,0.0018292523488341,0.0002676671992486,39.62414682853984,PR_9672
LOS_DAYS,0.0069809156,0.0614127654357939,0.0072349214142209,0.0,0.9221759204243962,LOS_DAYS
Age,0.006274166,0.0304469473084046,0.0031539116979181,0.0001592831563404,0.0085087341394832,Age
